153	0
185	1
283	1
319	1
329	1
371	1
513	1
527	0
559	0
589	0
615	0
795	1
847	1
979	0
1071	1
1189	0
1343	1
1371	0
1397	0
1577	0
1609	0
1771	0
1965	1
2263	0
2435	0
2467	1
2535	0
2589	1
2601	1
2613	0
2663	1
2843	1
2945	1
3003	1
3013	1
3317	1
3747	1
4003	1
4029	1
4191	1
4221	0
4279	1
4293	0
4497	0
4503	1
4591	1
5251	0
5439	1
5479	0
5553	0
5845	1
5877	1
6643	0
6693	1
6825	1
6845	1
7065	1
7325	0
7469	1
7483	0
7803	1
7831	1
8071	1
8113	0
8175	1
8273	1
8451	1
8507	1
9405	1
9545	1
9561	1
9811	1
10137	1
10157	1
10163	1
10209	1
10261	1
10285	1
10383	1
10537	0
10855	1
10937	1
10977	0
10983	1
11203	1
11347	1
11363	1
11451	1
11641	1
11795	0
11869	1
12165	0
12489	0
12629	1
12717	0
12745	1
12761	0
12769	1
12779	0
12835	0
12943	1
12973	1
13049	1
13291	0
13351	0
13821	1
14073	0
14285	0
14301	1
14365	1
14495	1
14537	1
14839	0
14955	1
14965	1
15201	0
15745	1
15767	1
15815	0
15831	1
15883	1
15985	1
16015	1
16715	0
16753	1
16803	1
16891	1
17145	1
17191	0
17285	0
17423	0
17565	0
17689	1
17709	0
17743	1
17839	1
17853	1
17889	1
18083	0
18235	0
18343	1
18425	1
18435	1
18505	1
18511	1
18541	1
18543	1
18699	1
18855	0
18985	0
19007	1
19055	1
19119	1
19337	0
19401	0
19483	1
19863	1
19871	1
19925	1
20085	1
20163	0
20299	0
20319	1
20493	0
20527	0
20541	0
20693	1
20859	0
20867	1
20971	0
21085	1
21181	1
21191	0
21373	1
21481	1
21501	0
21653	1
21673	0
21739	1
21821	0
21881	1
21883	1
21963	0
21991	0
22147	1
22151	0
22223	0
22285	1
22321	0
22437	1
22449	1
22533	1
22559	0
22713	1
22731	1
22791	1
22809	0
22817	1
22975	1
22995	0
23045	1
23065	0
23287	1
23601	0
23645	1
23683	1
23995	1
24043	1
24069	1
24105	0
24237	0
24249	1
24287	1
24441	1
24523	1
24535	0
24745	0
25021	1
25195	0
25263	0
25293	1
25319	0
25521	1
25603	1
25685	1
25823	1
25833	1
25841	0
25893	1
26143	0
26145	1
26277	1
26489	1
26561	1
26703	1
26711	1
26753	0
26803	0
26835	0
27001	0
27191	0
27273	0
27411	1
27469	0
27591	0
27685	0
27803	0
27857	1
27879	1
27973	0
28007	1
28031	0
28033	1
28151	1
28319	1
28537	1
28565	0
29157	1
29393	0
29401	1
29573	0
29629	1
29743	0
29809	1
30313	1
30503	0
30671	1
30695	1
30921	1
31023	1
31033	1
31237	1
31371	1
31647	1
31667	0
31997	0
32021	1
32181	1
32595	1
33073	0
33279	1
33367	0
33371	1
33387	1
33547	0
33783	0
33785	1
33911	1
34183	0
34495	1
34631	0
34987	1
35437	1
35785	1
35853	1
36349	1
